Algorithm,KGT_mean_ms,KGT_CV_%,ET_mean_ms,DT_mean_ms,CSO_%,MC_KeyGen_KB,CPU%_KeyGen,EC_KeyGen_mJ,TP_maxsize_MBps,Security_bits,Speedup_vs_DSA,Composite_Score
RSA,1355.6424315999948,48.05262668540788,9.955397885004231,6.126095889999306,36.73153010072194,1.658984375,99.20050956304132,20172.06299999998,125.25632448920281,112,6.4852852306515185,31.6
ECC,0.4284382000378173,30.3558619796225,4.397246134990382,7.610942754997723,9.182882525180485,1.1072265625,103.86562168654689,6.6750000001789545,128.86932857572313,128,20520.41073583992,95.5
DSA,8791.727839699957,112.33732225346662,3.065102779996778,2.794384230005562,8.035022209532924,1.74267578125,99.14881874115757,130753.41449999996,126.51710267348885,112,1.0,35.0
