Algorithm,KGT_mean_ms,KGT_CV_%,ET_mean_ms,DT_mean_ms,CSO_%,MC_KeyGen_KB,CPU%_KeyGen,EC_KeyGen_mJ,TP_maxsize_MBps,Security_bits,Speedup_vs_RSA,Composite_Score
RSA,1165.5540885999926,72.43950106449975,4.068931575008037,4.958609255004376,40.7490412054884,1.7251953125,98.77763814315071,17269.60199999998,548.9228748975664,112,1.0,20.0
ECC,0.43982490003600105,47.45027736379315,6.482330324989789,4.329230264999069,13.343876169402893,1.1142578125,103.01826930786552,6.7965000000320686,541.6792420120752,128,2650.0411607087008,80.0
