Algorithm,KGT_mean_ms,KGT_CV_%,ET_mean_ms,DT_mean_ms,CSO_%,MC_KeyGen_KB,CPU%_KeyGen,EC_KeyGen_mJ,TP_maxsize_MBps,Security_bits,Speedup_vs_DSA,Composite_Score
RSA,988.9926402000128,50.855465235730044,8.863695615013967,5.469164569989289,11.930392747672197,1.6681640625,98.18005317042895,14564.902500000024,124.31644077317311,112,12.972537291587294,34.1
ECC,0.2833480999470339,67.80389177720603,4.136594580004385,7.21644226501212,2.9825981869180493,1.10263671875,104.78277428181482,4.453499999989674,132.0480225946193,128,45279.08924922489,99.4
DSA,12829.743906100042,83.36851350960704,4.627296059991295,4.209342534990128,2.609773413553293,1.7470703125,99.1941756058677,190895.3804999998,122.91426766900948,112,1.0,32.9
