Algorithm,KGT_mean_ms,KGT_CV_%,ET_mean_ms,DT_mean_ms,CSO_%,MC_KeyGen_KB,CPU%_KeyGen,EC_KeyGen_mJ,Security_bits,Speedup_vs_DH,Composite_Score
ECC,0.7273114000327041,67.55149483316545,7.104263970004467,4.998780170004693,103.125,1.1072265625,67.24767410269605,7.3365000000862315,128,3.672341585578107,65.0
DH,2.6709359000051336,8.955114061374715,3.1441306399926816,367.66306434999365,700.0,0.7712890625,100.48163267325731,40.25699999971977,112,1.0,35.0
