Algorithm,KGT_mean_ms,KGT_CV_%,ET_mean_ms,DT_mean_ms,CSO_%,MC_KeyGen_KB,CPU%_KeyGen,EC_KeyGen_mJ,Security_bits,Speedup_vs_DH,Composite_Score
ECC,0.35880030000043917,18.801974566776554,6.241067715002373,4.373661764999497,103.125,1.0625,103.45587782601564,5.568000000117479,128,7.278291573470776,65.0
DH,2.611453200051983,7.079253724193829,3.2234155000094233,380.3110996099872,700.0,0.7712890625,100.51108708220089,39.37200000022756,112,1.0,35.0
