Algorithm,KGT_mean_ms,KGT_CV_%,ET_mean_ms,DT_mean_ms,CSO_%,MC_KeyGen_KB,CPU%_KeyGen,EC_KeyGen_mJ,TP_maxsize_MBps,Security_bits,Speedup_vs_DSA,Composite_Score
RSA,1584.333770299986,51.45526702937646,6.394971775000613,3.9910139300013725,88.11080901490575,1.65869140625,92.82235394891228,22059.238500000003,126.5482954260213,112,3.887745605734153,27.9
ECC,0.2946467000015218,72.05418533291127,3.480818835001287,5.931757089992402,22.02770225372644,1.0625,92.178191712542,4.074000000031219,120.66133792609457,128,20904.651752312788,99.4
DSA,6159.486653499994,120.73949070912285,5.6185928600035595,5.190681920002476,19.274239472010635,1.7380859375,98.79792655353971,91281.67650000007,119.59298436093981,112,1.0,20.3
