Algorithm,KGT_mean_ms,KGT_CV_%,ET_mean_ms,DT_mean_ms,CSO_%,MC_KeyGen_KB,CPU%_KeyGen,EC_KeyGen_mJ,Security_bits,Speedup_vs_DH,Composite_Score
ECC,0.2999176000457737,72.28398822726902,5.7170032200019705,4.002599865003731,103.125,1.1072265625,105.32893033332913,4.738500000144086,128,10.402164459524164,65.0
DH,3.11979219998193,17.613944401939158,3.5144507850009177,395.8794335849984,700.0,0.7265625,99.95858057509236,46.77749999991576,112,1.0,35.0
